Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1412816312,"Feb 17, 2018, 9:52:11 PM",Pre-gaming Twisted Tasting,Run,"",8144,24.51,,false,TG3-3,activities/1412816312.gpx
1418248660,"Feb 21, 2018, 3:33:50 AM",Had to break out the long sleeves for this one.,Run,"",4038,13.63,,false,TG3-3,activities/1418248660.gpx
1424601286,"Feb 25, 2018, 4:09:20 AM",Lua rode a rollercoaster today,Run,"",4094,13.89,,false,TG3-3,activities/1424601286.gpx
1434758192,"Mar 3, 2018, 9:24:55 PM",Nothing like running in the rain,Run,"",4090,13.19,,false,Xero Prio,activities/1434758192.gpx
1437046544,"Mar 5, 2018, 4:27:15 AM",Dropping off the rent check,Run,"",1766,5.86,,false,Xero Prio,activities/1437046544.gpx
1438030624,"Mar 5, 2018, 7:54:56 PM",I want to run! But there's no time! But I want to run! But there's no time!,Run,"",1637,5.13,,false,Xero Prio,activities/1438030624.gpx
1440199984,"Mar 7, 2018, 4:22:59 AM",Finally not freezing!,Run,"",3995,12.96,,false,Xero Prio,activities/1440199984.gpx
1448458831,"Mar 11, 2018, 7:32:05 PM",Trapped by a river and damaged trails,Run,"",7189,16.49,,false,Xero Prio,activities/1448458831.gpx
1449416141,"Mar 12, 2018, 3:50:13 PM",Trying to squeeze a run in before the rain,Run,"",1842,5.69,,false,Xero Prio,activities/1449416141.gpx
1449670307,"Mar 12, 2018, 6:14:44 PM",I can still see the sun!,Run,"",3007,9.69,,false,Xero Prio,activities/1449670307.gpx
1456794638,"Mar 17, 2018, 3:47:06 AM",Surprise rain,Run,"",4171,13.99,,false,Xero Prio,activities/1456794638.gpx
1460168490,"Mar 18, 2018, 8:27:58 PM",Mud,Run,"",6889,19.49,,false,Xero Prio,activities/1460168490.gpx
1481860827,"Mar 31, 2018, 4:19:15 AM",Campus Tour,Run,"",4417,13.20,,false,Xero Prio,activities/1481860827.gpx
1486528963,"Apr 3, 2018, 3:26:41 AM",Quick run and then back to work,Run,"",1527,5.82,,false,Xero Prio,activities/1486528963.gpx
1490142505,"Apr 5, 2018, 3:53:43 AM",Mission Sub 7,Run,"",1456,5.77,,false,Xero Prio,activities/1490142505.gpx
1493077979,"Apr 6, 2018, 6:22:24 PM",Rain Run,Run,"",1566,5.77,,false,Xero Prio,activities/1493077979.gpx
1523591922,"Apr 22, 2018, 2:35:39 AM","""Jogging"" or ""Yogging"", I'm not sure if there's a soft ""J""",Run,"",2196,7.63,,false,Xero Prio,activities/1523591922.gpx
1528072220,"Apr 24, 2018, 2:38:51 AM",Merry-go-round,Run,"",3778,13.17,,false,Xero Prio,activities/1528072220.gpx
1533138316,"Apr 26, 2018, 3:32:54 PM",Capistrolla,Run,"",4175,13.33,,false,Xero Prio,activities/1533138316.gpx
1535657256,"Apr 28, 2018, 12:23:11 AM",Afternoon Run,Run,,1577,5.33,,false,Xero Prio,activities/1535657256.gpx
1540279866,"Apr 30, 2018, 4:24:56 AM",A great end to a weekend of cake,Run,"",3897,12.94,,false,Xero Prio,activities/1540279866.gpx
1543222632,"May 1, 2018, 2:58:54 PM",Quick run before lab,Run,"",1611,5.76,,false,Xero Prio,activities/1543222632.gpx
1545333385,"May 2, 2018, 3:26:44 PM",A trot by the ocean on a cloudy morning,Run,"",4103,12.93,,false,Xero Prio,activities/1545333385.gpx
1547287838,"May 3, 2018, 3:15:26 PM",Squeezing another run in before the weekend,Run,"",4144,13.42,,false,Xero Prio,activities/1547287838.gpx
1560327869,"May 9, 2018, 3:27:57 PM",Morning Run,Run,,4326,13.55,,false,Xero Prio,activities/1560327869.gpx
1562756993,"May 10, 2018, 5:12:08 PM",Morning Run,Run,,4243,13.11,,false,Xero Prio,activities/1562756993.gpx
1570628932,"May 13, 2018, 10:12:01 PM",I need to stop picking up the trail by Dimeo Lane,Run,"",7520,21.23,,false,Xero Prio,activities/1570628932.gpx
1575010723,"May 16, 2018, 2:06:22 AM",Sunset run,Run,"",4117,12.91,,false,Xero Prio,activities/1575010723.gpx
1578384637,"May 17, 2018, 5:15:52 PM",Cool morning jog,Run,"",4112,13.09,,false,Xero Prio,activities/1578384637.gpx
1583208819,"May 20, 2018, 3:57:52 AM",I ate too many baked dates wrapped in bacon,Run,"",4168,12.95,,false,Xero Prio,activities/1583208819.gpx
1587958785,"May 22, 2018, 3:28:14 AM",Evening Run,Run,,4227,13.25,,false,Xero Prio,activities/1587958785.gpx
1593661834,"May 24, 2018, 5:51:29 PM",Going to miss these hills over the summer,Run,"",4320,13.38,,false,Xero Prio,activities/1593661834.gpx
1610363496,"Jun 1, 2018, 4:20:11 PM",Morning Run,Run,,4263,13.27,,false,Xero Prio,activities/1610363496.gpx
1615910427,"Jun 3, 2018, 11:04:10 PM",Time for some new shoes,Run,"",7335,21.16,,false,Xero Prio,activities/1615910427.gpx
1632790950,"Jun 11, 2018, 11:19:44 PM",A quick run after three long days of driving,Run,,3086,9.45,,false,Xero Prio,activities/1632790950.gpx
1636629010,"Jun 13, 2018, 5:41:39 PM","Mountain Top, I <3 U",Run,,5556,15.94,,false,Xero Prio,activities/1636629010.gpx
1655798216,"Jun 23, 2018, 1:16:50 AM",First run back in Columbus!,Run,"",4504,14.78,,false,Xero Prio,activities/1655798216.gpx
1659901137,"Jun 24, 2018, 4:24:45 PM",Out to the Aquatic Center and back,Run,"",7402,21.67,,false,Xero Prio,activities/1659901137.gpx
1664654793,"Jun 27, 2018, 12:14:51 AM",Finally found a safe way onto main street!,Run,"",4075,13.67,,false,Xero Prio,activities/1664654793.gpx
1668817952,"Jun 29, 2018, 12:23:52 AM",Finding my stride again,Run,"",4073,13.74,,false,Xero Prio,activities/1668817952.gpx
1675291347,"Jul 2, 2018, 12:23:01 AM","After the thunderstorm, it was so humid that the first five miles felt like swimming laps in an indoor pool",Run,"",6556,21.16,,false,Xero Prio,activities/1675291347.gpx
1681720534,"Jul 5, 2018, 12:29:10 AM","Red, white, and blue run",Run,"",4231,13.04,,false,Xero Prio,activities/1681720534.gpx
1686481330,"Jul 7, 2018, 11:35:34 AM","With the kids in PA, I get a pleasant morning run!",Run,"",4312,14.17,,false,TG4,activities/1686481330.gpx
1689954697,"Jul 8, 2018, 6:02:22 PM",Over 20 for the weekend!,Run,"",6946,21.30,,false,TG4,activities/1689954697.gpx
1696721363,"Jul 12, 2018, 12:34:13 AM",Eating Five Guys and then running. Not my best idea.,Run,"",4234,13.76,,false,TG4,activities/1696721363.gpx
1700790162,"Jul 14, 2018, 12:53:56 AM",So glad I waited for it to cool off today,Run,"",3823,13.70,,false,TG4,activities/1700790162.gpx
1705541307,"Jul 15, 2018, 11:23:47 PM",Stopped by the Thai place where I left my credit card last week. In the middle of my run. Like a psychopath.,Run,"",7091,22.25,,false,TG4,activities/1705541307.gpx
1712207515,"Jul 19, 2018, 12:57:39 AM",I run so I can eat more,Run,,4125,13.95,,false,TG4,activities/1712207515.gpx
1716328267,"Jul 21, 2018, 1:01:50 AM",Thunderstorms are keeping me inside,Run,Treadmill,3600,12.87,,false,TG4,
1725899878,"Jul 25, 2018, 12:18:08 AM",A run of exploration!,Run,,4392,13.96,,false,TG4,activities/1725899878.gpx
1732062703,"Jul 27, 2018, 9:53:24 PM",First time on the Olentangy Trail!,Run,,4688,14.28,,false,TG4,activities/1732062703.gpx
1733663276,"Jul 28, 2018, 2:24:12 PM",Lovely Saturday morning run,Run,,7604,21.25,,false,TG4,activities/1733663276.gpx
1779250927,"Aug 17, 2018, 10:13:09 PM",Small run to test the ankle,Run,,4154,13.85,,false,TG4,activities/1779250927.gpx
1788765475,"Aug 22, 2018, 12:01:47 AM",Still resting the ankle,Ride,,2558,14.43,,false,,activities/1788765475.gpx
1791086906,"Aug 23, 2018, 12:11:41 AM",A very small test,Run,,1488,5.14,,false,TG4,activities/1791086906.gpx
1808852629,"Aug 31, 2018, 12:48:41 AM",Evening Run,Run,,4678,12.90,,false,TG4,activities/1808852629.gpx
1868221237,"Sep 27, 2018, 3:45:22 AM","What up, SC?!",Run,,2593,8.40,,false,Spyridon,activities/1868221237.gpx
1873355198,"Sep 29, 2018, 3:16:34 PM",Morning Run,Run,,2504,8.09,,false,Spyridon,activities/1873355198.gpx
1877918473,"Oct 1, 2018, 4:44:27 PM",Morning Run,Run,,3562,10.53,,false,Spyridon,activities/1877918473.gpx
1885743313,"Oct 5, 2018, 3:02:41 PM",Morning Run,Run,,1720,5.91,,false,TG4,activities/1885743313.gpx
1887819877,"Oct 6, 2018, 2:38:02 PM",Morning Run,Run,,1666,5.82,,false,TG4,activities/1887819877.gpx
1890914384,"Oct 7, 2018, 8:18:11 PM",Afternoon Run,Run,,1710,5.88,,false,TG4,activities/1890914384.gpx
1900162447,"Oct 12, 2018, 3:06:12 PM",Morning Activity,Virtual Ride,"",1767,8.69,,false,,
1905711903,"Oct 15, 2018, 3:55:27 AM",Evening Ride,Ride,,2382,13.84,,false,,
1913304935,"Oct 18, 2018, 10:00:10 PM",That hill though...,Run,,1658,4.57,,false,TG4,activities/1913304935.gpx
1915063656,"Oct 19, 2018, 10:02:08 PM",Afternoon Activity,E-Bike Ride,,1860,9.33,,false,,
1919627830,"Oct 21, 2018, 7:16:31 PM",Lunch Run,Run,,3338,10.36,,false,TG4,activities/1919627830.gpx
1925851901,"Oct 24, 2018, 5:44:56 PM",Morning Activity,E-Bike Ride,,1800,10.62,,false,,
1927708250,"Oct 26, 2018, 3:13:17 AM",Evening Ride,E-Bike Ride,"",3600,18.83,,false,,
1986484940,"Nov 26, 2018, 8:05:20 PM",Trying to Recover,Run,,947,3.00,,false,TG4,activities/1986484940.gpx
1990479075,"Nov 29, 2018, 3:59:12 AM",Physical Therapy Run 1,Run,"",2014,4.44,,false,Dyad,activities/1990479075.gpx
1993410952,"Nov 30, 2018, 11:25:09 PM",Physical Therapy Run 2,Run,"",1791,4.63,,false,Dyad,activities/1993410952.gpx
2002445743,"Dec 5, 2018, 11:53:42 PM",Physical Therapy Run 3,Run,"",1557,4.69,,false,Dyad,activities/2002445743.gpx
2005574710,"Dec 8, 2018, 12:38:17 AM",Physical Therapy Run 4,Run,"",1444,4.09,,false,Dyad,activities/2005574710.gpx
2011102385,"Dec 11, 2018, 4:10:23 AM",Physical Therapy Run 5,Run,"",1582,4.41,,false,Dyad,activities/2011102385.gpx
2014627876,"Dec 13, 2018, 4:33:12 AM",Physical Therapy Run 6,Run,"",1548,4.60,,false,Dyad,activities/2014627876.gpx
2017534151,"Dec 15, 2018, 4:26:20 AM",Physical Therapy Run 7,Run,"",1468,4.62,,false,Dyad,activities/2017534151.gpx
2028774235,"Dec 22, 2018, 12:11:55 AM",Physical Therapy Run 8,Run,,2022,4.95,,false,Dyad,activities/2028774235.gpx
2033981161,"Dec 24, 2018, 9:58:25 PM",Physical Therapy Run 9,Run,,1842,4.85,,false,Dyad,activities/2033981161.gpx
2037542302,"Dec 27, 2018, 4:14:58 AM",Physical Therapy Run 10,Run,"",1572,4.86,,false,Dyad,activities/2037542302.gpx
2041250620,"Dec 29, 2018, 3:28:05 AM",Physical Therapy Run 11,Run,"Yeah, this was an indoor track. ",1553,4.50,,false,Dyad,activities/2041250620.gpx
2045225451,"Dec 30, 2018, 8:28:15 PM",Physical Therapy Run 12,Run,,1914,5.92,,false,Dyad,activities/2045225451.gpx
2051307463,"Jan 2, 2019, 8:15:45 PM",Physical Therapy Run 13,Run,,1677,5.44,,false,Dyad,activities/2051307463.gpx
2055816583,"Jan 4, 2019, 9:52:11 PM",Physical Therapy Run 14,Run,,2113,6.50,,false,Dyad,activities/2055816583.gpx
2063226487,"Jan 7, 2019, 11:52:10 PM",Physical Therapy Run 15,Run,"",2657,6.62,,false,Dyad,activities/2063226487.gpx
2066969536,"Jan 9, 2019, 5:10:17 PM",Physical Therapy Run 16,Run,"",1793,5.75,,false,Dyad,activities/2066969536.gpx
2071279859,"Jan 11, 2019, 4:19:09 PM",Physical Therapy Run 17,Run,,1851,5.09,,false,Dyad,activities/2071279859.gpx
2079177179,"Jan 14, 2019, 11:08:00 PM",Physical Therapy Run 18,Run,,1868,6.12,,false,Dyad,activities/2079177179.gpx
2085921453,"Jan 17, 2019, 11:08:51 PM",Physical Therapy Run 19,Run,"",1878,6.58,,false,Dyad,activities/2085921453.gpx
2090149486,"Jan 19, 2019, 9:30:48 PM",Physical Therapy Run 20,Run,,2597,7.33,,false,Dyad,activities/2090149486.gpx
2095208854,"Jan 22, 2019, 4:20:55 AM",Physical Therapy Run 21,Run,,1875,6.57,,false,Dyad,activities/2095208854.gpx
2098483503,"Jan 23, 2019, 5:07:41 PM",Physical Therapy Run 22,Run,,2003,6.49,,false,Dyad,activities/2098483503.gpx
2113965675,"Jan 28, 2019, 6:31:15 PM",Morning Run,Run,,2535,7.97,73,false,Dyad,activities/2113965675.gpx
2113965754,"Jan 30, 2019, 7:38:32 PM",Lunch Run,Run,,1997,6.40,54,false,Dyad,activities/2113965754.gpx
2117445175,"Feb 1, 2019, 4:31:24 PM",Morning Run with Daniel ,Run,"",2196,5.77,51,false,Dyad,activities/2117445175.gpx
2123026233,"Feb 4, 2019, 4:13:45 AM",Evening Run,Run,,2433,7.91,71,false,Dyad,activities/2123026233.gpx
2127298902,"Feb 6, 2019, 3:00:34 AM",Evening Run,Run,,3088,8.99,106,false,Dyad,activities/2127298902.gpx
2131617119,"Feb 8, 2019, 4:32:09 AM",Evening Run,Run,,2317,7.93,91,false,Dyad,activities/2131617119.gpx
2135662947,"Feb 10, 2019, 12:57:54 AM",Afternoon Run,Run,,2315,8.12,89,false,Dyad,activities/2135662947.gpx
2141698305,"Feb 12, 2019, 6:09:22 PM",Morning Run,Run,,2555,8.55,74,false,Dyad,activities/2141698305.gpx
2149677319,"Feb 14, 2019, 11:12:34 PM",Afternoon Run,Run,,2328,8.05,83,false,Dyad,activities/2149677319.gpx
2159181807,"Feb 19, 2019, 12:36:04 AM",Afternoon Run,Run,,2632,8.50,21,false,Dyad,activities/2159181807.gpx
2164041685,"Feb 21, 2019, 4:22:10 AM",Evening Run,Run,,3014,9.78,114,false,Dyad,activities/2164041685.gpx
2175886507,"Feb 26, 2019, 4:10:16 AM",Evening Run,Run,,3105,10.02,111,false,Dyad,activities/2175886507.gpx
2180661867,"Feb 28, 2019, 12:25:46 AM",Afternoon Run,Run,,3732,11.16,169,false,Dyad,activities/2180661867.gpx
2184229303,"Mar 1, 2019, 6:18:58 PM",Morning Run,Run,,2620,7.53,43,false,Dyad,activities/2184229303.gpx
2191915612,"Mar 5, 2019, 4:02:09 AM",Evening Run,Run,,2929,9.98,108,false,Dyad,activities/2191915612.gpx
2196358319,"Mar 7, 2019, 4:06:27 AM",Evening Run,Run,,2993,9.91,93,false,Dyad,activities/2196358319.gpx
2200437261,"Mar 9, 2019, 4:29:21 AM",Evening Run,Run,,4082,13.03,89,false,Dyad,activities/2200437261.gpx
2207411756,"Mar 11, 2019, 11:05:22 PM",Afternoon Run,Run,,4085,12.35,144,false,Dyad,activities/2207411756.gpx
2212116866,"Mar 14, 2019, 4:05:39 AM",Night Run,Run,,3530,11.34,150,false,Dyad,activities/2212116866.gpx
2215640325,"Mar 15, 2019, 8:15:10 PM",Afternoon Run,Run,,4594,12.92,158,false,Dyad,activities/2215640325.gpx
2223204234,"Mar 18, 2019, 8:55:29 PM",Afternoon Run,Run,,4466,12.93,127,false,Dyad,activities/2223204234.gpx
2228048177,"Mar 20, 2019, 8:23:52 PM",Afternoon Run,Run,,4023,12.93,118,false,Dyad,activities/2228048177.gpx
2232284847,"Mar 22, 2019, 5:19:10 PM",Morning Run,Run,,4094,13.68,102,false,Dyad,activities/2232284847.gpx
2240342500,"Mar 25, 2019, 6:28:27 PM",Lunch Run,Run,,4059,12.89,130,false,Dyad,activities/2240342500.gpx
2245908650,"Mar 27, 2019, 11:33:27 PM",Afternoon Run,Run,,3611,12.87,140,false,Dyad,activities/2245908650.gpx
2250399228,"Mar 29, 2019, 11:11:28 PM",Afternoon Run,Run,,586,1.97,5,false,Dyad,activities/2250399228.gpx
2275985536,"Apr 8, 2019, 11:15:21 PM",Afternoon Run,Run,,4442,13.19,208,false,Dyad,activities/2275985536.gpx
2283445313,"Apr 12, 2019, 3:34:34 AM",Evening Run,Run,,3802,13.36,172,false,Dyad,activities/2283445313.gpx
2334830424,"May 1, 2019, 9:03:22 PM",Afternoon Ride,Ride,,1039,4.58,16,false,,activities/2334830424.gpx
2337373592,"May 2, 2019, 10:25:02 PM",Afternoon Ride,Ride,,1967,10.21,51,false,,activities/2337373592.gpx
2341978563,"May 4, 2019, 6:06:26 PM",Lunch Ride,Ride,,5455,21.18,83,false,,activities/2341978563.gpx
2431697957,"Jun 7, 2019, 9:02:04 PM",Afternoon Run,Run,,1881,5.08,72,false,Dyad,activities/2431697957.gpx
2455397927,"Jun 16, 2019, 3:38:52 PM",Morning Run,Run,,1589,5.64,64,false,Dyad,activities/2455397927.gpx
2462053447,"Jun 19, 2019, 3:36:41 AM",Evening Run,Run,"",1209,4.22,35,false,TG4,activities/2462053447.gpx
2469761575,"Jun 22, 2019, 4:02:18 AM",Night Run,Run,,1426,4.89,29,false,Dyad,activities/2469761575.gpx
2478304189,"Jun 25, 2019, 3:51:57 AM",Evening Run,Run,,2016,7.19,83,false,Dyad,activities/2478304189.gpx
2483846250,"Jun 27, 2019, 4:15:39 AM",Night Run,Run,,2488,8.25,80,false,Dyad,activities/2483846250.gpx
2488270183,"Jun 28, 2019, 10:17:03 PM",Afternoon Run,Run,,251,1.19,7,false,Dyad,activities/2488270183.gpx
2492672941,"Jun 30, 2019, 3:05:45 PM",Morning Run,Run,,1739,5.65,46,false,Dyad,activities/2492672941.gpx
2499197197,"Jul 2, 2019, 9:07:05 PM",Afternoon Run,Run,,2250,6.89,67,false,Dyad,activities/2499197197.gpx
2502521616,"Jul 4, 2019, 3:46:04 AM",Evening Run,Run,,2247,7.77,70,false,Dyad,activities/2502521616.gpx
2518902508,"Jul 9, 2019, 9:40:33 PM",Afternoon Run,Run,,1969,6.16,42,false,Dyad,activities/2518902508.gpx
2526837503,"Jul 12, 2019, 10:28:16 PM",Afternoon Run,Run,,2183,6.89,64,false,Dyad,activities/2526837503.gpx
2533126435,"Jul 15, 2019, 3:00:16 AM",Evening Run,Run,,371,1.40,2,false,Dyad,activities/2533126435.gpx
2535455141,"Jul 15, 2019, 3:10:30 AM",Evening Ride,Ride,,12478,4.00,5,false,,activities/2535455141.gpx
2535455849,"Jul 15, 2019, 11:13:43 PM",Afternoon Run,Run,,1549,4.64,46,false,Dyad,activities/2535455849.gpx
2538496002,"Jul 16, 2019, 11:32:23 PM",Afternoon Run,Run,,1609,5.82,44,false,Dyad,activities/2538496002.gpx
2551754822,"Jul 21, 2019, 5:27:30 PM",Morning Run,Run,,2233,7.71,61,false,Dyad,activities/2551754822.gpx
2554988772,"Jul 22, 2019, 11:57:08 PM",Afternoon Run,Run,,1263,4.36,39,false,Dyad,activities/2554988772.gpx
2556780318,"Jul 23, 2019, 4:22:00 PM",Morning Run,Run,,2167,7.32,50,false,Dyad,activities/2556780318.gpx
2560668978,"Jul 24, 2019, 11:19:22 PM",Afternoon Run,Run,,1541,5.62,41,false,Dyad,activities/2560668978.gpx
2563744681,"Jul 26, 2019, 4:59:33 AM",Night Run,Run,,1644,5.83,31,false,Dyad,activities/2563744681.gpx
2568015878,"Jul 27, 2019, 5:54:29 PM",Morning Run,Run,,1725,5.43,35,false,Dyad,activities/2568015878.gpx
2574550051,"Jul 30, 2019, 4:05:17 AM",Night Run,Run,,2132,7.44,41,false,Dyad,activities/2574550051.gpx
2581703595,"Aug 1, 2019, 2:58:57 PM",Morning Run,Run,,3067,10.00,80,false,Dyad,activities/2581703595.gpx
2587110353,"Aug 3, 2019, 2:25:05 PM",Morning Run,Run,,2458,7.53,53,false,Dyad,activities/2587110353.gpx
2603070173,"Aug 8, 2019, 11:39:52 PM",Evening Run,Run,,1744,5.88,44,false,Dyad,activities/2603070173.gpx
2605466864,"Aug 9, 2019, 11:51:51 PM",Evening Run,Run,,1831,6.11,29,false,Dyad,activities/2605466864.gpx
2607312124,"Aug 10, 2019, 3:29:12 PM",Lunch Run,Run,,1957,6.95,37,false,Dyad,activities/2607312124.gpx
2609939145,"Aug 11, 2019, 1:15:50 PM",Morning Run,Run,,2593,7.97,42,false,Dyad,activities/2609939145.gpx
2622090856,"Aug 15, 2019, 6:12:46 PM",Afternoon Run,Run,,2375,8.14,50,false,Dyad,activities/2622090856.gpx
2631544612,"Aug 19, 2019, 3:45:33 AM",Evening Run,Run,,1645,5.48,34,false,Dyad,activities/2631544612.gpx
2636724401,"Aug 20, 2019, 9:17:16 PM",Afternoon Run,Run,,3624,11.19,109,false,Dyad,activities/2636724401.gpx
2641563333,"Aug 22, 2019, 2:52:51 PM",Morning Run,Run,,2873,5.17,38,false,Dyad,activities/2641563333.gpx
2641563352,"Aug 22, 2019, 3:23:04 AM",Evening Run,Run,,1547,4.92,20,false,Dyad,activities/2641563352.gpx
2653321322,"Aug 26, 2019, 2:51:53 PM",Morning Run,Run,,790,2.63,8,false,Dyad,activities/2653321322.gpx
2654772665,"Aug 27, 2019, 3:36:54 AM",Evening Run,Run,,1730,5.84,,false,Dyad,activities/2654772665.gpx
2657840220,"Aug 28, 2019, 3:15:28 AM",Evening Run,Run,,1632,5.69,35,false,Dyad,activities/2657840220.gpx
2659245065,"Aug 28, 2019, 3:29:39 PM",Morning Run,Run,,1788,6.03,29,false,Dyad,activities/2659245065.gpx
2662110054,"Aug 29, 2019, 3:33:04 PM",Morning Run,Run,,1866,6.15,38,false,Dyad,activities/2662110054.gpx
2666034645,"Aug 31, 2019, 2:38:10 AM",Evening Run,Run,,1659,5.71,38,false,Dyad,activities/2666034645.gpx
2672370458,"Sep 2, 2019, 4:43:27 AM",Night Run,Run,,1764,6.09,14,false,Dyad,activities/2672370458.gpx
2675038255,"Sep 3, 2019, 3:05:01 AM",Evening Run,Run,,1608,5.65,36,false,Dyad,activities/2675038255.gpx
2676374997,"Sep 3, 2019, 3:02:56 PM",Morning Run,Run,,2286,5.24,38,false,Dyad,activities/2676374997.gpx
2677274418,"Sep 3, 2019, 7:15:19 PM",Lunch Run,Run,,1785,4.96,33,false,Dyad,activities/2677274418.gpx
2683804999,"Sep 6, 2019, 4:08:51 AM",Night Run,Run,,1509,5.12,21,false,Dyad,activities/2683804999.gpx
2689249580,"Sep 8, 2019, 4:16:58 AM",Night Run,Run,,2127,7.40,34,false,Dyad,activities/2689249580.gpx
2692557964,"Sep 9, 2019, 3:53:57 AM",Evening Run,Run,,1697,5.72,23,false,Dyad,activities/2692557964.gpx
2695078826,"Sep 10, 2019, 2:50:46 AM",Evening Run,Run,,2238,7.85,65,false,Dyad,activities/2695078826.gpx
2697479185,"Sep 10, 2019, 8:16:51 PM",Afternoon Run,Run,,3453,11.15,78,false,Dyad,activities/2697479185.gpx
2701033799,"Sep 12, 2019, 4:18:39 AM",Night Run,Run,"",1648,5.42,24,false,12,activities/2701033799.gpx
2703837669,"Sep 13, 2019, 3:48:16 AM",Evening Run,Run,"",3111,10.39,69,false,12,activities/2703837669.gpx
2713625947,"Sep 16, 2019, 12:47:44 PM",Morning Run,Run,"",1531,4.55,20,false,12,activities/2713625947.gpx
2716056140,"Sep 17, 2019, 10:25:40 AM",Morning Run,Run,"",2318,7.45,,false,12,activities/2716056140.gpx
2719112115,"Sep 18, 2019, 10:55:01 AM",Morning Run,Run,"",1834,6.23,,false,12,activities/2719112115.gpx
2723557725,"Sep 19, 2019, 9:30:25 PM",Afternoon Run,Run,"",2392,7.39,,false,12,activities/2723557725.gpx
2724617874,"Sep 20, 2019, 10:38:42 AM",Morning Run,Run,"",1740,6.03,,false,12,activities/2724617874.gpx
2729481805,"Sep 22, 2019, 3:47:28 AM",Evening Run,Run,"",1479,5.39,43,false,12,activities/2729481805.gpx
2735016890,"Sep 24, 2019, 3:16:45 AM",Evening Run,Run,"",2367,7.74,44,false,12,activities/2735016890.gpx
2737802943,"Sep 25, 2019, 3:37:09 AM",Evening Run,Run,"",2302,7.66,42,false,12,activities/2737802943.gpx
2748037780,"Sep 29, 2019, 2:23:38 AM",Evening Run,Run,"",3572,10.75,73,false,12,activities/2748037780.gpx
2751045375,"Sep 30, 2019, 3:46:52 AM",Evening Run,Run,"",1066,4.29,30,false,12,activities/2751045375.gpx
