MAKE,MODEL,TIME,SPEED,WEIGHT,HP
Audi,TT Roadster,8.9,133,1335,150
Mini,Cooper S,7.4,134,1240,168
Volvo,C70 T5 Sport,7.4,150,1711,220
Saab,Nine-Three,7.9,149,1680,247
Mercedes-Benz,SL350,6.6,155,1825,268
Jaguar,XK8,6.7,154,1703,290
Bugatti,Veyron 16.4,2.4,253,1950,1000
Lotus,Exige,4.9,147,875,189
BMW,M3 (E30),6.7,144,1257,220
BMW,330i Sport,5.9,155,1510,231
Porsche,Cayman S,5.3,171,1350,291
Nissan,Skyline GT-R (R34),4.7,165,1560,276
Porsche,911 RS,4.7,172,1270,300
Ford,Shelby GT,5,150,1584,319
Mitsubishi,Evo VII RS Sprint,4.4,150,1260,320
Aston Martin,V8 Vantage,5.2,175,1630,380
Mercedes-Benz,SLK55 AMG,4.8,155,1540,355
Maserati,Quattroporte Sport GT,5.1,171,1930,394
Spyker,C8,4.5,187,1275,400
Ferrari,288GTO,4.9,189,1161,400
Mosler,MT900,3.9,190,1130,435
Lamborghini,Countach QV,4.9,180,1447,455
Chrysler,Viper GTS-R,4,190,1290,460
Bentley,Arnage T,5.2,179,2585,500
Ferrari,430 Scuderia,3.5,198,1350,503
Saleen,S7,3.3,240,1247,550
Lamborghini,Murcielago,4,205,1650,570
Pagani,Zonda F,3.6,214,1230,602
McLaren,F1,3.2,240,1140,627
Koenigsegg,CCR,3.2,242,1180,806
Tesla,Model 3 (RWD),5.1,140,3838,271
Tesla,Roadster,1.9,250,2723,288
Tesla,Model S,2.8,155,4941,518
Tesla,Model X,6,130,5531,518
Tesla,Model 3 (Performance),3.5,155,3838,
Honda,Civic LX (2013),9.1,124,2716,140